Longitude(deg)	Lattitude(deg)	Alttitude(km)
103.256	60.0386	122.011
103.256	60.0473	122.222
103.256	60.0559	122.433
103.256	60.0645	122.644
103.256	60.0731	122.855
103.256	60.0817	123.066
103.256	60.0903	123.278
103.256	60.099	123.489
103.256	60.1076	123.701
103.256	59.2065	108.808
103.256	59.2151	109.013
103.256	59.2238	109.218
103.256	59.2324	109.423
103.256	59.241	109.629
103.256	59.2497	109.834
103.256	59.2583	110.04
103.256	59.267	110.246
103.256	59.2756	110.452
103.256	59.2842	110.658
103.256	59.2929	110.865
103.256	59.3015	111.071
103.256	59.3102	111.278
103.256	59.3188	111.484
103.256	59.3274	111.691
103.256	59.3361	111.898
103.256	59.3447	112.106
103.256	59.3533	112.313
103.256	59.362	112.521
103.256	59.3706	112.728
103.256	59.3793	112.936
103.256	59.3879	113.144
103.256	59.3965	113.352
103.256	59.4052	113.56
103.256	59.4138	113.769
103.256	59.4224	113.977
103.256	59.431	114.186
103.256	59.4397	114.395
103.256	59.4483	114.604
103.256	59.4569	114.813
103.256	59.4656	115.022
103.256	59.4742	115.232
103.256	59.4828	115.441
103.256	59.4914	115.651
103.256	59.5001	115.861
103.256	59.5087	116.071
103.256	59.5173	116.281
103.256	59.526	116.491
103.256	59.5346	116.702
103.256	59.5432	116.912
103.256	59.5518	117.123
103.256	59.5604	117.334
103.256	59.5691	117.545
103.256	59.5777	117.756
103.256	59.5863	117.968
103.256	59.5949	118.179
103.256	59.6035	118.391
103.256	59.6122	118.602
103.256	59.6208	118.814
103.256	59.6294	119.026
103.256	59.638	119.239
103.256	59.6466	119.451
103.256	59.6553	119.664
103.256	59.6639	119.876
103.256	59.6725	120.089
103.256	59.6811	120.302
103.256	59.6897	120.515
103.256	59.6983	120.728
103.256	59.7069	120.942
103.256	59.7156	121.155
103.256	59.7242	121.369
103.256	59.7328	121.583
103.256	59.7414	121.797
103.256	59.75	122.011
103.256	59.7586	122.225
103.256	59.7672	122.44
103.256	59.7758	122.654
103.256	59.7844	122.869
103.256	59.793	123.084
103.256	59.8016	123.299
103.256	59.8103	123.514
103.256	58.9101	107.977
103.256	58.9187	108.186
103.256	58.9274	108.395
103.256	58.936	108.603
103.256	58.9446	108.812
103.256	58.9533	109.021
103.256	58.9619	109.231
103.256	58.9706	109.44
103.256	58.9792	109.649
103.256	58.9878	109.859
103.256	58.9965	110.069
103.256	59.0051	110.279
103.256	59.0137	110.489
103.256	59.0224	110.699
103.256	59.031	110.91
103.256	59.0396	111.12
103.256	59.0483	111.331
103.256	59.0569	111.542
103.256	59.0655	111.753
103.256	59.0741	111.964
103.256	59.0828	112.175
103.256	59.0914	112.387
103.256	59.1	112.598
103.256	59.1087	112.81
103.256	59.1173	113.022
103.256	59.1259	113.234
103.256	59.1345	113.446
